{'market_cap': 1970604000000, 'name': 'KODEX 레버리지', 'date': '20180130', 'industry': 'ETF', 'price': '19095', 'pbr': 0, 'eps': 0, 'market_type': 'KOSPI', 'bps': 0, 'industry_per': 0, 'code': '122630', 'per': 0, 'foreign_ratio': 0, 'face_val': 0, 'foreign_limit': 0, 'foreign_possession': 0, 'yield_ret': 0}
{'market_cap': 75448590210, 'name': 'KR모터스', 'date': '20180130', 'industry': '운수장비', 'price': '630', 'pbr': 1.2, 'eps': '-89', 'market_type': 'KOSPI', 'bps': '527', 'industry_per': '5.88', 'code': '000040', 'per': '-7.08', 'foreign_ratio': '25.94', 'face_val': '500', 'foreign_limit': '119759667', 'foreign_possession': '31064237', 'yield_ret': 0}
{'market_cap': 153288871200, 'name': '미래산업', 'date': '20180130', 'industry': '의료정밀', 'price': '243', 'pbr': 2.09, 'eps': '-17', 'market_type': 'KOSPI', 'bps': '116', 'industry_per': '15.48', 'code': '025560', 'per': '-14.29', 'foreign_ratio': '2.12', 'face_val': '100', 'foreign_limit': '630818400', 'foreign_possession': '13396022', 'yield_ret': 0}
{'market_cap': 183687860000, 'name': '동양네트웍스', 'date': '20180130', 'industry': '서비스업', 'price': '2000', 'pbr': 2.59, 'eps': '-77', 'market_type': 'KOSPI', 'bps': '772', 'industry_per': '41.45', 'code': '030790', 'per': '-25.97', 'foreign_ratio': '1.29', 'face_val': '500', 'foreign_limit': '91843930', 'foreign_possession': '1183072', 'yield_ret': 0}
{'market_cap': 3430000000000, 'name': '삼성엔지니어링', 'date': '20180130', 'industry': '서비스업', 'price': '17500', 'pbr': 3.39, 'eps': '190', 'market_type': 'KOSPI', 'bps': '5158', 'industry_per': '24.69', 'code': '028050', 'per': '92.11', 'foreign_ratio': '23.96', 'face_val': '5000', 'foreign_limit': '196000000', 'foreign_possession': '46955129', 'yield_ret': 0}
{'market_cap': 234000000000, 'name': '코오롱머티리얼', 'date': '20180130', 'industry': '화학', 'price': '5200', 'pbr': 1.26, 'eps': '55', 'market_type': 'KOSPI', 'bps': '4123', 'industry_per': '19.55', 'code': '144620', 'per': '94.55', 'foreign_ratio': '1.28', 'face_val': '1000', 'foreign_limit': '45000000', 'foreign_possession': '577503', 'yield_ret': '0.38'}
{'market_cap': 644072778585, 'name': '한화투자증권', 'date': '20180130', 'industry': '증권', 'price': '3735', 'pbr': 0.81, 'eps': '-1352', 'market_type': 'KOSPI', 'bps': '4623', 'industry_per': '23.06', 'code': '003530', 'per': '-2.76', 'foreign_ratio': '5.01', 'face_val': '5000', 'foreign_limit': '172442511', 'foreign_possession': '8634581', 'yield_ret': 0}
{'market_cap': 1069926000000, 'na{'market_cap': 30780000000, 'name': '진양화학', 'date': '20180130', 'industry': '화학', 'price': '2565', 'pbr': 1.01, 'eps': '109', 'market_type': 'KOSPI', 'bps': '2549', 'industry_per': '14.83', 'code': '051630', 'per': '23.53', 'foreign_ratio': '0.64', 'face_val': '500', 'f{'market_cap': 88401420000, 'name': '서울식품', 'date': '20180130', 'industry': '음식료', 'price': '262', 'pbr': 3.32, 'eps': '1', 'market_type': 'KOSPI', 'bps': '79', 'industry_per': '16.64', 'code': '004410', 'per': '262.00', 'foreign_ratio': '4.05', 'face_val': '100', 'foreign_limit': '337410000', 'foreign_possession': '13651589', 'yield_ret': 0}
{'market_cap': 3337082306720, 'name': '메리츠종금증권', 'date': '20180130', 'industry': '증권', 'price': '5510', 'pbr': 1.33, 'eps': '511', 'market_type': 'KOSPI', 'bps': '4142', 'industry_per': '23.06', 'code': '008560', 'per': '10.78', 'foreign_ratio': '8.31', 'face_val': '1000', 'foreign_limit': '605641072', 'foreign_possession': '50303418', 'yield_ret': '3.63'}
{'market_cap': 1076457122450, 'name': '후성', 'date': '20180130', 'industry': '화학', 'price': '11650', 'pbr': 7.1, 'eps': '704', 'market_type': 'KOSPI', 'bps': '1640', 'industry_per': '14.83', 'code': '093370', 'per': '16.55', 'foreign_ratio': '2.75', 'face_val': '500', 'foreign_limit': '92399753', 'foreign_possession': '2544765', 'yield_ret': 0}
{'market_cap': 140191380300, 'name': '참엔지니어링', 'date': '20180130', 'industry': '기계', 'price': '2850', 'pbr': 3.11, 'eps': '122', 'market_type': 'KOSPI', 'bps': '916', 'industry_per': '62.79', 'code': '009310', 'per': '23.36', 'foreign_ratio': '5.09', 'face_val': '500', 'foreign_limit': '49189958', 'foreign_possession': '2504328', 'yield_ret': 0}
